ts_index,EyePosition_x,EyePosition_y,EyePosition_z,GazeTarget,IsFixation,IsSaccade,IsBlink,EyeDirection_h,EyeDirection_v
0,0.2009999999999999,-0.09744,-0.5784,0.0,1,0,0,-0.038019708299509763,0.006001593634952653
0,0.2008799999999999,-0.09624,-0.57168,0.0,1,0,0,-0.038019708299509763,0.006001593634952653
0,0.2008799999999999,-0.09492,-0.56556,0.0,1,0,0,-0.038019708299509763,0.003000823839239438
0,0.2008799999999999,-0.09336,-0.56004,0.0,1,0,0,-0.0330210258842448,-0.0020009079512419603
0,0.2009999999999999,-0.09192,-0.5551200000000001,0.0,1,0,0,-0.037020115873930025,-0.0010003148152673016
0,0.20124,-0.09036,-0.55116,0.0,1,0,0,-0.038019708299509763,-0.00700182888372381
0,0.2013599999999999,-0.08928,-0.54816,0.0,1,0,0,-0.0330210258842448,-0.008003471592861721
0,0.20148,-0.0882,-0.54636,0.0,1,0,0,-0.03901922471681948,-0.007001559188015469
0,0.20148,-0.0874799999999999,-0.5456399999999999,0.0,1,0,0,-0.040018663137660115,-0.009001552903794924
0,0.20148,-0.087,-0.54612,1.0,1,0,0,-0.040018663137660115,-0.0070012825196102855
0,0.2013599999999999,-0.08688,-0.54768,0.0,1,0,0,-0.04101802157476615,-0.01000125690693344
0,0.20124,-0.08736,-0.5502,0.0,1,0,0,-0.040018663137660115,-0.009001552903794924
0,0.20124,-0.0882,-0.55356,0.0,1,0,0,-0.040018663137660115,-0.0060011253167646045
0,0.20112,-0.0894,-0.5577599999999999,0.0,1,0,0,-0.04101802157476615,-0.0020003154079303366
0,0.2009999999999999,-0.09072,-0.56244,0.0,1,0,0,-0.03502071095528295,0.0
0,0.2009999999999999,-0.09252,-0.5676,0.0,1,0,0,-0.03901922471681948,0.006001362464196022
0,0.20112,-0.0942,-0.57312,0.0,1,0,0,-0.03602044942918929,0.011003424437146612
0,0.2013599999999999,-0.096,-0.57888,0.0,1,0,0,-0.04101802157476615,0.01000125690693344
0,0.2015999999999999,-0.09756,-0.58452,1.0,0,1,0,-0.03602044942918929,0.022004185032400352
0,0.20196,-0.09888,-0.59016,1.0,0,1,0,-0.037131519936003964,0.08706849891593539
0,0.2023199999999999,-0.1002,-0.5946,1.0,0,1,0,-0.05857800278991035,0.1354332226441045
0,0.20292,-0.10092,-0.5992799999999999,1.0,0,1,0,-0.04477656849917141,0.18307707499189022
