TimeStamp,RealTime,LeftPupilDiameter,RightPupilDiameter,EyePosition,EyeRotation,EyeDirection,VergencePosition,HeadRotation,MarkerEyePosition,MarkerEyeRotation,MarkerEyeDirection,MarkerVergencePosition,MarkerHeadRotation,LeftEyeOpenness,RightEyeOpenness,GazeTarget,Situation,SituationRecognized,StartCompression
0,7187242,0.0046,0.0047,(-0.774| -0.778| 0.462),(0.442| 0.562| -0.389| 0.581),(0.308| -0.951| -0.022),(-0.606| -1.297| 0.450),(0.455| 0.556| -0.402| 0.567),(1.698| -1.992| -5.464),(0.150| 0.005| 0.037| -0.988),(0.001| 0.297| 0.955),(1.701| -0.638| -1.118),(0.127| 0.002| 0.041| -0.991),0.913,0,None,0,0,0
0,7187258,0.0045,0.0047,(-0.775| -0.778| 0.461),(0.440| 0.563| -0.389| 0.582),(0.312| -0.950| -0.021),(-0.604| -1.297| 0.450),(0.456| 0.555| -0.401| 0.569),(1.699| -1.998| -5.463),(0.152| 0.006| 0.038| -0.988),(0.000| 0.301| 0.954),(1.700| -0.627| -1.122),(0.128| 0.003| 0.038| -0.991),0,0,CompressionCountText,0,0,0
0,7187275,0.0043,0.0047,(-0.775| -0.778| 0.461),(0.439| 0.563| -0.389| 0.582),(0.315| -0.949| -0.019),(-0.603| -1.297| 0.451),(0.456| 0.553| -0.400| 0.571),(1.700| -2.004| -5.459),(0.154| 0.006| 0.038| -0.987),(-0.001| 0.304| 0.953),(1.696| -0.618| -1.123),(0.129| 0.005| 0.036| -0.991),0,0,CompressionCountText,0,0,1
0,7187292,0.0042,0.0047,(-0.776| -0.779| 0.461),(0.438| 0.563| -0.388| 0.584),(0.318| -0.948| -0.017),(-0.602| -1.297| 0.452),(0.456| 0.551| -0.400| 0.573),(1.699| -2.007| -5.452),(0.155| 0.007| 0.038| -0.987),(-0.002| 0.307| 0.952),(1.688| -0.609| -1.120),(0.129| 0.007| 0.034| -0.991),0,0,CompressionCountText,0,0,0
0,7187308,0.0043,0.0047,(-0.776| -0.780| 0.461),(0.437| 0.562| -0.387| 0.585),(0.319| -0.947| -0.014),(-0.602| -1.298| 0.453),(0.455| 0.550| -0.401| 0.575),(1.697| -2.009| -5.444),(0.156| 0.008| 0.037| -0.987),(-0.005| 0.309| 0.951),(1.675| -0.601| -1.115),(0.129| 0.009| 0.033| -0.991),0,0,CompressionCountText,0,0,0
0,7187325,0.0043,0.0047,(-0.776| -0.781| 0.461),(0.437| 0.561| -0.387| 0.587),(0.321| -0.947| -0.011),(-0.601| -1.299| 0.455),(0.454| 0.548| -0.401| 0.577),(1.695| -2.011| -5.434),(0.157| 0.010| 0.036| -0.987),(-0.008| 0.311| 0.950),(1.658| -0.594| -1.108),(0.130| 0.011| 0.032| -0.991),0,0,CompressionCountText,0,0,0
0,7187342,0.0043,0.0047,(-0.776| -0.783| 0.462),(0.436| 0.560| -0.387| 0.589),(0.322| -0.947| -0.007),(-0.600| -1.300| 0.458),(0.453| 0.548| -0.400| 0.579),(1.692| -2.010| -5.424),(0.158| 0.012| 0.034| -0.987),(-0.012| 0.313| 0.950),(1.638| -0.586| -1.100),(0.132| 0.013| 0.031| -0.991),0,0,CompressionCountText,0,0,0
0,7187358,0.0043,0.0047,(-0.776| -0.784| 0.462),(0.435| 0.559| -0.387| 0.591),(0.323| -0.946| -0.003),(-0.599| -1.301| 0.460),(0.452| 0.548| -0.399| 0.580),(1.689| -2.006| -5.413),(0.159| 0.013| 0.033| -0.987),(-0.016| 0.314| 0.949),(1.618| -0.575| -1.092),(0.134| 0.013| 0.030| -0.990),0,0.91,CompressionCountText,0,0,0
0,7187375,0.0044,0.0047,(-0.775| -0.785| 0.462),(0.470| 0.543| -0.411| 0.561),(0.223| -0.974| -0.032),(-0.652| -1.321| 0.445),(0.452| 0.547| -0.397| 0.582),(1.686| -2.000| -5.400),(0.106| 0.005| 0.033| -0.994),(-0.002| 0.211| 0.977),(1.675| -1.032| -0.925),(0.136| 0.013| 0.027| -0.990),0.926,1,None,0,0,0
0,7187392,0.0044,0.0048,(-0.774| -0.787| 0.463),(0.470| 0.542| -0.411| 0.562),(0.224| -0.974| -0.031),(-0.660| -1.283| 0.447),(0.453| 0.547| -0.394| 0.584),(1.683| -1.993| -5.387),(0.107| 0.005| 0.032| -0.994),(-0.004| 0.212| 0.977),(1.666| -1.093| -1.239),(0.138| 0.013| 0.025| -0.990),1,1,None,0,0,0
