TimeStamp,RealTime,LeftPupilDiameter,RightPupilDiameter,EyePosition,EyeRotation,EyeDirection,VergencePosition,HeadRotation,MarkerEyePosition,MarkerEyeRotation,MarkerEyeDirection,MarkerVergencePosition,MarkerHeadRotation,LeftEyeOpenness,RightEyeOpenness,GazeTarget,Situation,SituationRecognized,StartCompression
0,7296006,0.0046,0.0049,(-0.636| -0.820| 0.570),(0.468| 0.540| -0.425| 0.555),(0.202| -0.979| -0.022),(-0.531| -1.330| 0.558),(0.493| 0.524| -0.447| 0.532),(2.033| -1.289| -5.578),(0.077| 0.018| -0.030| -0.996),(-0.040| 0.153| 0.987),(1.860| -0.625| -1.288),(0.034| 0.013| -0.030| -0.999),0.983,0.951,CompressionCountText,0,0,0
0,7296023,0.0046,0.0048,(-0.636| -0.821| 0.569),(0.477| 0.542| -0.425| 0.546),(0.187| -0.981| -0.042),(-0.513| -1.467| 0.542),(0.493| 0.524| -0.447| 0.532),(2.035| -1.292| -5.569),(0.069| 0.008| -0.030| -0.997),(-0.020| 0.138| 0.990),(1.926| -0.536| -0.140),(0.034| 0.013| -0.030| -0.999),0.969,0.95,CompressionCountText,0,0,0
0,7296040,0.0046,0.0049,(-0.636| -0.821| 0.570),(0.467| 0.541| -0.424| 0.556),(0.205| -0.978| -0.023),(-0.533| -1.311| 0.558),(0.492| 0.524| -0.447| 0.532),(2.033| -1.291| -5.573),(0.079| 0.017| -0.030| -0.996),(-0.039| 0.156| 0.987),(1.869| -0.639| -1.447),(0.034| 0.013| -0.029| -0.999),0.979,0.954,CompressionCountText,0,0,0
0,7296073,0.0046,0.0049,(-0.637| -0.821| 0.570),(0.465| 0.542| -0.424| 0.557),(0.210| -0.977| -0.021),(-0.531| -1.313| 0.559),(0.493| 0.524| -0.448| 0.531),(2.035| -1.293| -5.571),(0.081| 0.018| -0.029| -0.996),(-0.041| 0.161| 0.986),(1.863| -0.618| -1.436),(0.033| 0.013| -0.029| -0.999),0.983,0.955,CompressionCountText,0,0,0
0,7296090,0.0046,0.0049,(-0.637| -0.821| 0.569),(0.466| 0.542| -0.425| 0.556),(0.206| -0.978| -0.020),(-0.529| -1.331| 0.559),(0.493| 0.524| -0.448| 0.531),(2.035| -1.294| -5.571),(0.080| 0.019| -0.029| -0.996),(-0.042| 0.157| 0.987),(1.855| -0.610| -1.287),(0.033| 0.013| -0.029| -0.999),0.988,0.959,CompressionCountText,0,0,0
0,7296106,0.0046,0.0049,(-0.637| -0.821| 0.569),(0.465| 0.542| -0.425| 0.556),(0.207| -0.978| -0.020),(-0.530| -1.326| 0.559),(0.493| 0.524| -0.448| 0.531),(2.036| -1.295| -5.571),(0.080| 0.019| -0.029| -0.996),(-0.042| 0.158| 0.986),(1.854| -0.614| -1.325),(0.033| 0.013| -0.029| -0.999),0.979,0.962,CompressionCountText,0,0,0
0,7296123,0.0046,0.0049,(-0.637| -0.821| 0.569),(0.465| 0.542| -0.425| 0.557),(0.208| -0.978| -0.019),(-0.530| -1.325| 0.560),(0.493| 0.524| -0.448| 0.531),(2.037| -1.296| -5.572),(0.080| 0.019| -0.029| -0.996),(-0.043| 0.159| 0.986),(1.852| -0.614| -1.335),(0.033| 0.012| -0.029| -0.999),0.98,0.96,CompressionCountText,0,0,0
0,7296140,0.0046,0.0049,(-0.637| -0.821| 0.569),(0.465| 0.541| -0.426| 0.557),(0.206| -0.978| -0.017),(-0.520| -1.377| 0.559),(0.493| 0.524| -0.447| 0.531),(2.038| -1.297| -5.573),(0.079| 0.020| -0.029| -0.996),(-0.045| 0.157| 0.987),(1.825| -0.555| -0.894),(0.034| 0.012| -0.029| -0.999),0.979,0.961,CompressionCountText,0,0,0
0,7296156,0.0046,0.0049,(-0.637| -0.820| 0.569),(0.464| 0.541| -0.426| 0.558),(0.208| -0.978| -0.015),(-0.520| -1.371| 0.561),(0.493| 0.524| -0.447| 0.532),(2.038| -1.297| -5.574),(0.080| 0.021| -0.029| -0.996),(-0.047| 0.159| 0.986),(1.817| -0.550| -0.944),(0.034| 0.012| -0.030| -0.999),0.992,0.959,CompressionCountText,0,0,0
0,7296173,0.0046,0.0049,(-0.637| -0.821| 0.569),(0.459| 0.535| -0.431| 0.564),(0.208| -0.978| 0.006),(-0.540| -1.276| 0.572),(0.492| 0.524| -0.446| 0.532),(2.036| -1.299| -5.571),(0.081| 0.032| -0.029| -0.996),(-0.068| 0.159| 0.985),(1.771| -0.682| -1.752),(0.035| 0.013| -0.030| -0.999),0.966,0.956,CompressionCountText,0,0,0
0,7296190,0.0045,0.0049,(-0.637| -0.821| 0.569),(0.451| 0.537| -0.428| 0.571),(0.228| -0.974| 0.018),(-0.533| -1.266| 0.578),(0.492| 0.524| -0.447| 0.532),(2.037| -1.300| -5.573),(0.091| 0.037| -0.029| -0.995),(-0.080| 0.179| 0.981),(1.733| -0.619| -1.837),(0.035| 0.013| -0.030| -0.999),0.971,0.951,CompressionStatsText,0,0,0
0,7296206,0.0049,0.005,(-0.637| -0.821| 0.569),(0.448| 0.538| -0.425| 0.573),(0.236| -0.972| 0.020),(-0.525| -1.283| 0.579),(0.493| 0.524| -0.447| 0.532),(2.038| -1.301| -5.573),(0.095| 0.038| -0.029| -0.994),(-0.081| 0.187| 0.979),(1.715| -0.559| -1.692),(0.034| 0.013| -0.029| -0.999),0.979,0.958,CompressionStatsText,0,0,0
0,7296223,0.0048,0.0049,(-0.638| -0.820| 0.569),(0.449| 0.537| -0.427| 0.573),(0.232| -0.973| 0.020),(-0.529| -1.277| 0.579),(0.493| 0.524| -0.448| 0.531),(2.038| -1.301| -5.574),(0.093| 0.039| -0.030| -0.994),(-0.082| 0.183| 0.980),(1.717| -0.586| -1.745),(0.034| 0.013| -0.029| -0.999),0.975,0.954,CompressionStatsText,0,0,0
0,7296240,0.0049,0.0049,(-0.638| -0.820| 0.569),(0.450| 0.536| -0.428| 0.572),(0.228| -0.973| 0.021),(-0.525| -1.303| 0.579),(0.493| 0.524| -0.448| 0.531),(2.039| -1.301| -5.574),(0.091| 0.039| -0.030| -0.995),(-0.083| 0.179| 0.980),(1.697| -0.563| -1.524),(0.033| 0.013| -0.029| -0.999),0.984,0.96,CompressionStatsText,0,0,0
0,7296256,0.0049,0.0049,(-0.638| -0.821| 0.569),(0.449| 0.537| -0.427| 0.573),(0.232| -0.973| 0.021),(-0.522| -1.307| 0.579),(0.493| 0.524| -0.448| 0.531),(2.041| -1.302| -5.573),(0.093| 0.039| -0.029| -0.994),(-0.083| 0.183| 0.980),(1.696| -0.541| -1.489),(0.033| 0.013| -0.029| -0.999),0.974,0.951,CompressionStatsText,0,0,0
0,7296273,0.0046,0.0049,(-0.638| -0.821| 0.569),(0.450| 0.539| -0.425| 0.571),(0.233| -0.972| 0.014),(-0.525| -1.291| 0.576),(0.493| 0.524| -0.448| 0.531),(2.041| -1.303| -5.573),(0.094| 0.036| -0.029| -0.995),(-0.076| 0.184| 0.980),(1.734| -0.559| -1.619),(0.033| 0.013| -0.029| -0.999),0.978,0.964,CompressionStatsText,0,0,0
0,7296290,0.0046,0.0049,(-0.638| -0.821| 0.569),(0.450| 0.537| -0.427| 0.572),(0.231| -0.973| 0.018),(-0.527| -1.289| 0.577),(0.492| 0.524| -0.449| 0.531),(2.043| -1.303| -5.572),(0.092| 0.038| -0.029| -0.995),(-0.080| 0.182| 0.980),(1.722| -0.575| -1.642),(0.033| 0.013| -0.028| -0.999),0.97,0.949,CompressionStatsText,0,0,0
0,7296306,0.0049,0.0049,(-0.638| -0.821| 0.568),(0.450| 0.536| -0.428| 0.572),(0.228| -0.973| 0.020),(-0.525| -1.305| 0.578),(0.493| 0.524| -0.449| 0.530),(2.044| -1.304| -5.570),(0.091| 0.039| -0.029| -0.995),(-0.082| 0.179| 0.980),(1.705| -0.563| -1.506),(0.032| 0.013| -0.028| -0.999),0.984,0.959,CompressionStatsText,0,0,0
0,7296340,0.0048,0.005,(-0.638| -0.822| 0.568),(0.461| 0.536| -0.431| 0.561),(0.203| -0.979| 0.002),(-0.553| -1.233| 0.568),(0.493| 0.524| -0.449| 0.530),(2.049| -1.306| -5.563),(0.078| 0.030| -0.028| -0.996),(-0.064| 0.154| 0.986),(1.826| -0.766| -2.112),(0.032| 0.013| -0.028| -0.999),0.98,0.954,CompressionCountText,0,0,0
0,7296356,0.0048,0.0049,(-0.638| -0.821| 0.568),(0.448| 0.537| -0.428| 0.572),(0.230| -0.973| 0.022),(-0.521| -1.316| 0.579),(0.493| 0.524| -0.450| 0.529),(2.048| -1.305| -5.565),(0.092| 0.039| -0.028| -0.995),(-0.083| 0.181| 0.980),(1.695| -0.538| -1.413),(0.031| 0.013| -0.028| -0.999),0.974,0.95,CompressionStatsText,0,0,0
0,7296373,0.0048,0.0049,(-0.638| -0.822| 0.568),(0.447| 0.536| -0.429| 0.574),(0.231| -0.973| 0.027),(-0.519| -1.324| 0.581),(0.493| 0.524| -0.450| 0.529),(2.050| -1.305| -5.564),(0.092| 0.042| -0.028| -0.994),(-0.088| 0.181| 0.979),(1.670| -0.524| -1.345),(0.031| 0.013| -0.027| -0.999),0.968,0.963,CompressionStatsText,0,0,0
0,7296406,0.0048,0.005,(-0.638| -0.822| 0.567),(0.449| 0.536| -0.430| 0.571),(0.225| -0.974| 0.023),(-0.524| -1.313| 0.579),(0.492| 0.524| -0.449| 0.530),(2.053| -1.304| -5.563),(0.090| 0.040| -0.028| -0.995),(-0.084| 0.176| 0.981),(1.697| -0.564| -1.440),(0.032| 0.013| -0.027| -0.999),0.968,0.954,CompressionStatsText,0,0,0
0,7296423,0.0048,0.0049,(-0.638| -0.822| 0.567),(0.450| 0.536| -0.431| 0.570),(0.224| -0.974| 0.022),(-0.527| -1.304| 0.578),(0.492| 0.524| -0.449| 0.531),(2.053| -1.303| -5.563),(0.089| 0.039| -0.028| -0.995),(-0.083| 0.174| 0.981),(1.710| -0.584| -1.519),(0.033| 0.014| -0.028| -0.999),0.974,0.954,CompressionStatsText,0,0,0
0,7296440,0.0046,0.0049,(-0.638| -0.822| 0.567),(0.449| 0.538| -0.428| 0.571),(0.230| -0.973| 0.018),(-0.531| -1.275| 0.576),(0.492| 0.524| -0.450| 0.531),(2.054| -1.302| -5.563),(0.092| 0.038| -0.027| -0.995),(-0.080| 0.181| 0.980),(1.745| -0.601| -1.759),(0.033| 0.014| -0.027| -0.999),0.979,0.949,CompressionStatsText,0,0,0
0,7296456,0.0046,0.0049,(-0.638| -0.822| 0.567),(0.449| 0.539| -0.427| 0.571),(0.231| -0.973| 0.017),(-0.524| -1.298| 0.575),(0.492| 0.524| -0.450| 0.530),(2.054| -1.302| -5.563),(0.093| 0.037| -0.027| -0.995),(-0.079| 0.182| 0.980),(1.733| -0.559| -1.562),(0.032| 0.014| -0.027| -0.999),0.978,0.951,CompressionStatsText,0,0,0
0,7296473,0.0045,0.0049,(-0.637| -0.822| 0.567),(0.448| 0.538| -0.428| 0.572),(0.232| -0.972| 0.020),(-0.521| -1.309| 0.577),(0.492| 0.524| -0.450| 0.530),(2.055| -1.301| -5.563),(0.093| 0.039| -0.027| -0.995),(-0.082| 0.183| 0.980),(1.713| -0.536| -1.472),(0.032| 0.014| -0.027| -0.999),0.977,0.959,CompressionStatsText,0,0,0
0,7296490,0.0045,0.0049,(-0.637| -0.822| 0.567),(0.449| 0.538| -0.429| 0.571),(0.230| -0.973| 0.020),(-0.524| -1.302| 0.577),(0.492| 0.524| -0.450| 0.530),(2.056| -1.300| -5.564),(0.092| 0.039| -0.027| -0.995),(-0.082| 0.180| 0.980),(1.720| -0.559| -1.534),(0.032| 0.014| -0.027| -0.999),0.985,0.964,CompressionStatsText,0,0,0
0,7296506,0.0048,0.0049,(-0.637| -0.822| 0.567),(0.448| 0.536| -0.431| 0.571),(0.226| -0.974| 0.023),(-0.524| -1.309| 0.579),(0.492| 0.524| -0.450| 0.530),(2.056| -1.300| -5.564),(0.090| 0.040| -0.027| -0.995),(-0.085| 0.177| 0.980),(1.700| -0.561| -1.474),(0.032| 0.014| -0.027| -0.999),0.968,0.949,CompressionStatsText,0,0,0
0,7296540,0.0048,0.0049,(-0.637| -0.822| 0.567),(0.448| 0.535| -0.431| 0.572),(0.226| -0.974| 0.026),(-0.527| -1.296| 0.580),(0.492| 0.524| -0.450| 0.530),(2.058| -1.298| -5.564),(0.090| 0.042| -0.027| -0.995),(-0.088| 0.177| 0.980),(1.699| -0.580| -1.580),(0.032| 0.014| -0.027| -0.999),0.984,0.951,CompressionStatsText,0,0,0
0,7296556,0.0048,0.0049,(-0.637| -0.822| 0.567),(0.447| 0.536| -0.430| 0.572),(0.229| -0.973| 0.026),(-0.520| -1.318| 0.580),(0.492| 0.524| -0.451| 0.530),(2.059| -1.297| -5.563),(0.092| 0.041| -0.027| -0.995),(-0.087| 0.180| 0.980),(1.687| -0.533| -1.397),(0.031| 0.014| -0.026| -0.999),0.965,0.955,CompressionStatsText,0,0,0
0,7296573,0.0045,0.0049,(-0.637| -0.822| 0.567),(0.448| 0.538| -0.429| 0.571),(0.230| -0.973| 0.020),(-0.522| -1.305| 0.576),(0.492| 0.524| -0.451| 0.530),(2.059| -1.297| -5.563),(0.092| 0.039| -0.027| -0.995),(-0.082| 0.181| 0.980),(1.721| -0.545| -1.501),(0.031| 0.014| -0.026| -0.999),0.983,0.964,CompressionStatsText,0,0,1
0,7296590,0.0045,0.0049,(-0.637| -0.822| 0.567),(0.447| 0.537| -0.429| 0.572),(0.230| -0.973| 0.023),(-0.525| -1.295| 0.578),(0.492| 0.523| -0.452| 0.529),(2.060| -1.296| -5.561),(0.092| 0.040| -0.027| -0.995),(-0.085| 0.181| 0.980),(1.717| -0.563| -1.589),(0.031| 0.014| -0.026| -0.999),0.979,0.954,CompressionStatsText,0,0,0
0,7296606,0.0045,0.0049,(-0.637| -0.822| 0.566),(0.448| 0.536| -0.431| 0.571),(0.227| -0.974| 0.023),(-0.528| -1.289| 0.578),(0.492| 0.523| -0.452| 0.529),(2.060| -1.296| -5.560),(0.091| 0.040| -0.026| -0.995),(-0.085| 0.178| 0.980),(1.720| -0.585| -1.642),(0.030| 0.014| -0.026| -0.999),0.979,0.954,CompressionStatsText,0,0,0
