TimeStamp,RealTime,LeftPupilDiameter,RightPupilDiameter,EyePosition,EyeRotation,EyeDirection,VergencePosition,HeadRotation,MarkerEyePosition,MarkerEyeRotation,MarkerEyeDirection,MarkerVergencePosition,MarkerHeadRotation,LeftEyeOpenness,RightEyeOpenness,GazeTarget,Situation,SituationRecognized,StartCompression
0,7056194,0.0042,0.0045,(-1.313| -0.505| 0.199),(-0.036| -0.957| 0.051| -0.284),(0.540| -0.118| -0.833),(-0.776| -0.623| -0.630),(-0.023| -0.913| 0.017| -0.407),(3.258| -6.720| -8.235),(-0.565| 0.329| -0.366| 0.662),(0.850| 0.507| 0.144),(10.300| -2.518| -7.038),(-0.631| 0.257| -0.274| 0.678),0.954,0.978,None,0,0,0
0,7056211,0.0043,0.0045,(-1.312| -0.505| 0.200),(-0.038| -0.957| 0.053| -0.283),(0.539| -0.122| -0.834),(-0.755| -0.631| -0.662),(-0.024| -0.913| 0.017| -0.407),(3.250| -6.709| -8.235),(-0.563| 0.330| -0.366| 0.663),(0.850| 0.506| 0.148),(10.573| -2.353| -6.958),(-0.631| 0.258| -0.273| 0.679),0.956,0.981,None,0,0,0
0,7056227,0.0043,0.0045,(-1.310| -0.506| 0.201),(-0.030| -0.953| 0.033| -0.298),(0.567| -0.081| -0.820),(0.408| -0.753| -2.283),(-0.026| -0.913| 0.017| -0.407),(3.240| -6.694| -8.230),(-0.583| 0.327| -0.351| 0.656),(0.838| 0.535| 0.107),(24.406| 6.802| -5.520),(-0.630| 0.258| -0.272| 0.680),0.951,0.981,None,0,0,0
0,7056244,0.0043,0.0045,(-1.308| -0.506| 0.202),(-0.033| -0.953| 0.036| -0.300),(0.569| -0.087| -0.818),(0.597| -0.799| -2.538),(-0.027| -0.913| 0.017| -0.408),(3.233| -6.681| -8.229),(-0.581| 0.326| -0.350| 0.659),(0.836| 0.536| 0.113),(26.581| 8.295| -5.068),(-0.629| 0.259| -0.271| 0.681),0.96,0.98,None,0,0,0
0,7056261,0.0042,0.0045,(-1.307| -0.506| 0.203),(-0.040| -0.957| 0.047| -0.284),(0.540| -0.113| -0.834),(-0.848| -0.602| -0.506),(-0.029| -0.912| 0.017| -0.408),(3.226| -6.669| -8.230),(-0.565| 0.333| -0.362| 0.662),(0.851| 0.507| 0.139),(9.250| -3.079| -7.246),(-0.628| 0.260| -0.270| 0.682),0.967,0.983,None,0,0,0
0,7056277,0.0044,0.0045,(-1.305| -0.506| 0.204),(-0.041| -0.956| 0.047| -0.286),(0.543| -0.113| -0.832),(-0.689| -0.634| -0.741),(-0.031| -0.912| 0.016| -0.408),(3.218| -6.653| -8.228),(-0.565| 0.333| -0.360| 0.663),(0.849| 0.510| 0.139),(11.252| -1.831| -6.912),(-0.628| 0.261| -0.268| 0.682),0.972,0.982,None,0,0,0
0,7056294,0.0042,0.0045,(-1.303| -0.507| 0.205),(-0.043| -0.957| 0.046| -0.282),(0.536| -0.113| -0.837),(-0.766| -0.620| -0.633),(-0.032| -0.912| 0.016| -0.408),(3.208| -6.637| -8.226),(-0.563| 0.337| -0.361| 0.663),(0.853| 0.503| 0.139),(10.332| -2.436| -7.065),(-0.627| 0.262| -0.267| 0.683),0.971,0.984,None,0,0,0
0,7056311,0.0043,0.0045,(-1.301| -0.507| 0.206),(-0.046| -0.958| 0.048| -0.280),(0.531| -0.118| -0.839),(-0.793| -0.619| -0.595),(-0.034| -0.912| 0.016| -0.408),(3.199| -6.619| -8.224),(-0.560| 0.338| -0.362| 0.664),(0.855| 0.498| 0.144),(10.006| -2.651| -7.075),(-0.626| 0.263| -0.266| 0.684),0.959,0.981,None,0,0,0
0,7056327,0.0043,0.0045,(-1.299| -0.507| 0.207),(-0.046| -0.957| 0.044| -0.282),(0.535| -0.109| -0.837),(-0.788| -0.612| -0.592),(-0.037| -0.912| 0.016| -0.409),(3.189| -6.601| -8.221),(-0.563| 0.339| -0.359| 0.662),(0.854| 0.502| 0.136),(9.978| -2.608| -7.142),(-0.625| 0.263| -0.265| 0.686),0.959,0.979,None,0,0,0
0,7056344,0.0043,0.0045,(-1.297| -0.508| 0.209),(-0.047| -0.958| 0.043| -0.281),(0.534| -0.108| -0.839),(-0.794| -0.610| -0.581),(-0.040| -0.911| 0.017| -0.410),(3.180| -6.581| -8.218),(-0.562| 0.341| -0.358| 0.663),(0.855| 0.501| 0.135),(9.892| -2.649| -7.160),(-0.623| 0.264| -0.263| 0.688),0.959,0.988,None,0,0,0
0,7056361,0.0043,0.0045,(-1.294| -0.508| 0.210),(-0.051| -0.958| 0.047| -0.278),(0.528| -0.118| -0.841),(-0.743| -0.631| -0.668),(-0.044| -0.910| 0.017| -0.411),(3.170| -6.560| -8.215),(-0.557| 0.343| -0.360| 0.665),(0.857| 0.495| 0.144),(10.620| -2.255| -6.960),(-0.621| 0.264| -0.260| 0.690),0.971,0.979,None,0,0,0
